subscription_id,opportunity_id,account,product,sales_agent,start_date,renewal_date,starting_arr,renewal_outcome,renewal_arr
SUB-00001,1C1I7A6R,Cancity,GTX Plus Basic,Moses Frase,2017-03-01,2018-03-01,1054.0,Renewed Flat,1054.0
SUB-00002,Z063OYW0,Isdom,GTXPro,Darcel Schlecht,2017-03-11,2018-03-11,4514.0,Renewed Flat,4514.0
SUB-00003,EC4QE1BX,Cancity,MG Special,Darcel Schlecht,2017-03-07,2018-03-07,50.0,Renewed Flat,50.0
SUB-00004,MV1LWRNH,Codehow,GTX Basic,Moses Frase,2017-03-09,2018-03-09,588.0,Renewed Flat,588.0
SUB-00005,PE84CX4O,Hatfan,GTX Basic,Zane Levy,2017-03-02,2018-03-02,517.0,Expansion,673.66
SUB-00006,ZNBS69V1,Ron-tech,MG Special,Anna Snelling,2017-03-01,2018-03-01,49.0,Churned,0.0
SUB-00007,9ME3374G,J-Texon,MG Special,Vicki Laflamme,2017-03-02,2018-03-02,57.0,Renewed Flat,57.0
SUB-00008,7GN8Q4LL,Cheers,GTX Basic,Markita Hansen,2017-03-07,2018-03-07,601.0,Renewed Flat,601.0
SUB-00009,OLK9LKZB,Zumgoity,GTX Plus Basic,Niesha Huffines,2017-03-03,2018-03-03,1026.0,Renewed Flat,1026.0
SUB-00010,NL3JZH1Z,Bioholding,MG Special,Anna Snelling,2017-03-10,2018-03-10,53.0,Renewed Flat,53.0
SUB-00011,S8DX3XOU,Sunnamplex,GTX Plus Pro,James Ascencio,2017-03-10,2018-03-10,5169.0,Renewed Flat,5169.0
SUB-00012,ENB2XD8G,Sonron,GTX Plus Pro,Maureen Marcano,2017-03-06,2018-03-06,4631.0,Renewed Flat,4631.0
SUB-00013,09YE9QOV,Finjob,MG Advanced,Hayden Neloms,2017-03-11,2018-03-11,3393.0,Renewed Flat,3393.0
SUB-00014,M6WEJXC0,Scotfind,MG Advanced,Rosalina Dieter,2017-03-06,2018-03-06,3284.0,Renewed Flat,3284.0
SUB-00015,6PTR7VBR,Treequote,MG Special,Versie Hillebrand,2017-03-05,2018-03-05,61.0,Renewed Flat,61.0
SUB-00016,5J9CMGDV,Rantouch,MG Special,Elease Gluck,2017-03-08,2018-03-08,46.0,Renewed Flat,46.0
SUB-00017,WF4HA5NW,Ron-tech,MG Special,Moses Frase,2017-03-18,2018-03-18,50.0,Renewed Flat,50.0
SUB-00018,C5K2JP1H,Vehement Capital Partners,GTX Plus Basic,Violet Mclelland,2017-03-11,2018-03-11,1014.0,Expansion,1117.38
SUB-00019,ADRB8OMB,Warephase,GTX Basic,Darcel Schlecht,2017-03-26,2018-03-26,561.0,Expansion,734.6
SUB-00020,SBCR987L,Zoomit,GTX Basic,Kami Bicknell,2017-03-23,2018-03-23,590.0,Renewed Flat,590.0
SUB-00021,JSD4APT2,Bioholding,MG Special,Versie Hillebrand,2017-03-12,2018-03-12,61.0,Renewed Flat,61.0
SUB-00022,5M58DTJK,Cheers,MG Special,Elease Gluck,2017-03-05,2018-03-05,58.0,Contraction,40.66
SUB-00023,KNY1OSAB,Labdrill,GTXPro,Maureen Marcano,2017-03-14,2018-03-14,4899.0,Renewed Flat,4899.0
SUB-00024,2STUSOFE,dambase,MG Special,Versie Hillebrand,2017-03-03,2018-03-03,67.0,Renewed Flat,67.0
SUB-00025,JYKM0B00,Xx-holding,GTXPro,James Ascencio,2017-03-06,2018-03-06,4338.0,Expansion,5557.49
SUB-00026,KU28360J,Fasehatice,GTX Basic,Kary Hendrixson,2017-03-19,2018-03-19,578.0,Expansion,762.34
SUB-00027,N4SD17JR,Acme Corporation,GTX Basic,Reed Clapper,2017-03-01,2018-03-01,556.0,Renewed Flat,556.0
SUB-00028,E67P9Y3Q,Green-Plus,GTX Basic,Rosalina Dieter,2017-03-03,2018-03-03,635.0,Contraction,453.11
SUB-00029,AT3MMVIS,The New York Inquirer,MG Advanced,Wilburn Farren,2017-03-07,2018-03-07,3045.0,Renewed Flat,3045.0
SUB-00030,REJ11LRY,Mathtouch,GTX Plus Basic,Garret Kinder,2017-03-14,2018-03-14,1233.0,Expansion,1585.09
SUB-00031,ERV0CAZ7,Zumgoity,MG Special,Versie Hillebrand,2017-03-09,2018-03-09,60.0,Churned,0.0
SUB-00032,CZVN09WN,Konmatfix,GTX Plus Basic,Darcel Schlecht,2017-03-20,2018-03-20,1170.0,Renewed Flat,1170.0
SUB-00033,30UQWUKB,Genco Pura Olive Oil Company,GTX Plus Basic,Marty Freudenburg,2017-03-20,2018-03-20,1162.0,Expansion,1294.17
SUB-00034,97UN20YY,Conecom,MG Advanced,Darcel Schlecht,2017-03-14,2018-03-14,3725.0,Renewed Flat,3725.0
SUB-00035,JXLERZ9O,Golddex,GTX Basic,Kary Hendrixson,2017-03-31,2018-03-28,559.0,Renewed Flat,559.0
SUB-00036,XKMZVSN4,Sonron,GTX Plus Pro,James Ascencio,2017-03-05,2018-03-05,4667.0,Renewed Flat,4667.0
SUB-00037,IU8V0BZK,Finhigh,GTX Plus Basic,Marty Freudenburg,2017-03-17,2018-03-17,903.0,Renewed Flat,903.0
SUB-00038,XY42936P,Finjob,GTX Plus Basic,Maureen Marcano,2017-03-13,2018-03-13,1180.0,Renewed Flat,1180.0
SUB-00039,XRN54MBM,Ron-tech,GTX Basic,Niesha Huffines,2017-03-05,2018-03-05,487.0,Renewed Flat,487.0
SUB-00040,2V848WZD,Stanredtax,MG Advanced,Lajuana Vencill,2017-03-04,2018-03-04,3180.0,Renewed Flat,3180.0
SUB-00041,HIOHX80Y,Gogozoom,MG Advanced,Darcel Schlecht,2017-03-18,2018-03-18,3563.0,Renewed Flat,3563.0
SUB-00042,LPKT07PV,Opentech,GTXPro,Boris Faz,2017-03-23,2018-03-23,4704.0,Renewed Flat,4704.0
SUB-00043,WPB2SLIG,Silis,GTX Plus Pro,Donn Cantrell,2017-03-14,2018-03-14,5585.0,Renewed Flat,5585.0
SUB-00044,XUSUEAV7,Zoomit,GTK 500,Elease Gluck,2017-03-09,2018-03-09,25897.0,Renewed Flat,25897.0
SUB-00045,3TYPII47,Goodsilron,GTX Plus Basic,Kami Bicknell,2017-03-03,2018-03-03,1207.0,Churned,0.0
SUB-00046,MYDUMR3R,Rangreen,GTX Basic,Lajuana Vencill,2017-03-04,2018-03-04,559.0,Renewed Flat,559.0
SUB-00047,37JFKD4I,dambase,GTX Plus Basic,Niesha Huffines,2017-03-09,2018-03-09,1033.0,Renewed Flat,1033.0
SUB-00048,25YKPHX8,Kan-code,GTX Basic,Donn Cantrell,2017-03-21,2018-03-21,462.0,Renewed Flat,462.0
SUB-00049,GIUUTBXM,Y-corporation,GTXPro,Kary Hendrixson,2017-03-14,2018-03-14,5539.0,Expansion,6364.43
SUB-00050,MFX2LR1Q,Ron-tech,MG Advanced,Lajuana Vencill,2017-03-15,2018-03-15,3573.0,Renewed Flat,3573.0
SUB-00051,DUHE9FLY,Conecom,GTXPro,Marty Freudenburg,2017-03-01,2018-03-01,4926.0,Contraction,3901.39
SUB-00052,7FQMSWIX,Bioplex,MG Special,Corliss Cosme,2017-03-04,2018-03-04,62.0,Renewed Flat,62.0
SUB-00053,C20AVXN7,Gogozoom,GTXPro,Darcel Schlecht,2017-03-14,2018-03-14,4359.0,Renewed Flat,4359.0
SUB-00054,GS1QVWCR,Plusstrip,GTX Basic,Kami Bicknell,2017-03-31,2018-03-28,566.0,Expansion,754.36
SUB-00055,ZWH8FXY3,Toughzap,GTX Basic,Marty Freudenburg,2017-03-03,2018-03-03,508.0,Renewed Flat,508.0
SUB-00056,AAR79NOO,Codehow,MG Special,Versie Hillebrand,2017-03-11,2018-03-11,51.0,Renewed Flat,51.0
SUB-00057,B6B0PNR2,Dalttechnology,GTXPro,Vicki Laflamme,2017-03-05,2018-03-05,4899.0,Renewed Flat,4899.0
SUB-00058,LXZA2OSZ,Ontomedia,GTX Plus Pro,Corliss Cosme,2017-03-03,2018-03-03,5790.0,Renewed Flat,5790.0
SUB-00059,513DPFX5,Codehow,GTXPro,Gladys Colclough,2017-03-03,2018-03-03,4438.0,Renewed Flat,4438.0
SUB-00060,RU023K5W,Finhigh,MG Advanced,Gladys Colclough,2017-03-17,2018-03-17,2972.0,Churned,0.0
SUB-00061,BZCBQ514,Y-corporation,GTX Basic,Markita Hansen,2017-03-01,2018-03-01,523.0,Churned,0.0
